"Season","Team","Age","GW","GL","MP","THM","THL","TM","TL","FTM","FTL","ORB","DRB","AST","STL","BLK","TOV","PF","PTS","OPTHM","OPTHL","OPTM","OPTL","OPFTM","OPFTL","OPORB","OPDRB","OPAST","OPSTL","OPBLK","OPTOV","OPPF","OPPTS","Conference","Classified"
1982,"Indiana Pacers",27,35,47,19830,0.00519415,0.010741301,0.16283409,0.182501261,0.081290973,0.028441755,0.057539082,0.119616742,0.095663137,0.037972769,0.02491175,0.0702471,0.102924861,0.422541604,0.001714574,0.007513868,0.173272819,0.173625819,0.078567827,0.02899647,0.060716087,0.131013616,0.103530005,0.03419062,0.020020171,0.076500252,0.101664145,0.430257186,"east",NA
1982,"Kansas City Kings/Sacramento Kings",24,30,52,19880,0.001307847,0.005231388,0.179979879,0.179879276,0.078018109,0.030533199,0.054627767,0.114486922,0.103420523,0.037374245,0.020221328,0.075804829,0.118661972,0.441901408,0.002414487,0.005533199,0.173289738,0.170070423,0.100855131,0.032595573,0.058903421,0.128370221,0.093209256,0.03556338,0.022635815,0.080935614,0.107444668,0.454678068,"west",NA
1982,"Los Angeles Lakers",26.8,57,25,19855,0.000654747,0.004079577,0.196726265,0.180559053,0.078015613,0.03082347,0.063359355,0.126164694,0.118660287,0.042709645,0.026038781,0.073936036,0.100679929,0.473432385,0.003928481,0.006799295,0.184688995,0.191337195,0.072173256,0.02895996,0.064215563,0.113573407,0.116796777,0.036162176,0.021908839,0.074691513,0.100931755,0.453336691,"west",NA
1982,"Milwaukee Bucks",27.3,55,27,19805,0.002474123,0.005806614,0.176470588,0.169452159,0.088513002,0.029083565,0.058924514,0.121938904,0.112749306,0.038525625,0.022973996,0.080232265,0.115172936,0.448876546,0.002878061,0.008432214,0.163595052,0.181873264,0.090381217,0.034334764,0.059176976,0.108810906,0.101792477,0.036354456,0.017672305,0.077657157,0.110527645,0.426205504,"east",NA
1982,"Brooklyn Nets/New Jersey Nets",25.1,44,38,19780,0.001516684,0.00586451,0.175480283,0.182507583,0.086653185,0.032355915,0.060364004,0.117290192,0.105965622,0.046410516,0.024317492,0.083417594,0.116026289,0.442163802,0.002932255,0.006521739,0.166076845,0.175025278,0.098382204,0.032912032,0.057735086,0.118604651,0.097623862,0.04206269,0.027249747,0.091456016,0.109403438,0.439332659,"east",NA
1982,"New York Knicks",28,33,49,19830,0.002924861,0.007866868,0.17473525,0.176449823,0.080837115,0.028643469,0.058900656,0.114624307,0.104639435,0.036258195,0.017044881,0.074936964,0.110690872,0.439082199,0.002571861,0.005900151,0.175995966,0.169440242,0.090418558,0.029046899,0.056732224,0.11931417,0.105345436,0.035451336,0.018053454,0.073726677,0.101714574,0.450126072,"east",NA
1982,"Philadelphia 76ers",28.1,58,24,19855,0.002064971,0.004935784,0.180055402,0.16419038,0.092974062,0.031478217,0.051926467,0.120322337,0.114026694,0.043112566,0.031327122,0.074238227,0.109947117,0.459279778,0.002770083,0.007907328,0.167010829,0.179048099,0.093276253,0.032435155,0.064920675,0.118055905,0.098967514,0.035356333,0.023671619,0.081339713,0.111609166,0.435608159,"east",NA
1982,"Phoenix Suns",26.4,46,36,19830,0.002723147,0.006051437,0.174180535,0.177105396,0.082450832,0.026323752,0.056631367,0.126928896,0.112102874,0.037972769,0.021633888,0.077054967,0.102319718,0.438981341,0.002571861,0.007513868,0.166364095,0.185930408,0.084266263,0.027433182,0.058396369,0.11931417,0.098285426,0.039082199,0.018154312,0.070146243,0.10408472,0.424710035,"west",NA
1982,"Portland Trail Blazers",24.7,42,40,19780,0.001466127,0.005611729,0.182002022,0.174266936,0.086905966,0.033771486,0.057735086,0.119059656,0.103842265,0.035692619,0.018554095,0.070273003,0.101718908,0.455308392,0.00273003,0.00768453,0.181142568,0.177148635,0.082355915,0.026289181,0.061729019,0.11966633,0.106875632,0.035793731,0.021587462,0.073407482,0.108291203,0.452831143,"west",NA
1982,"San Antonio Spurs",26.1,48,34,19755,0.003239686,0.009516578,0.18395343,0.188661098,0.091723614,0.02647431,0.063426981,0.128423184,0.114249557,0.030372058,0.028094153,0.065451784,0.112224753,0.469349532,0.002935966,0.007137434,0.177575297,0.186180714,0.095823842,0.030574538,0.058263731,0.123209314,0.103062516,0.030928879,0.021716021,0.06843837,0.11030119,0.459782334,"west",NA
1982,"Los Angeles Clippers/San Diego Clippers",25.4,17,65,19755,0.00501139,0.012098203,0.174791192,0.167552518,0.085699823,0.032801822,0.057251329,0.111161731,0.095064541,0.032194381,0.015135409,0.079473551,0.119109086,0.450316376,0.001822323,0.005568211,0.187446216,0.164819033,0.100632751,0.033358643,0.052290559,0.115211339,0.107770185,0.039078714,0.024651987,0.067527208,0.107517084,0.480992154,"west",NA
1982,"Oklahoma City Thunder/Seattle SuperSonics",26.4,52,30,19830,0.001916288,0.005799294,0.174836107,0.179425113,0.08809884,0.031013616,0.055622794,0.128290469,0.106051437,0.034846193,0.023197176,0.068129097,0.10373172,0.443519919,0.002420575,0.007715582,0.169591528,0.193797277,0.079979829,0.0301059,0.062581947,0.122037317,0.100554715,0.033282905,0.015683308,0.070852244,0.108421583,0.426424609,"west",NA
